x,y
0,0
0.10558698025205915,0
0.10558698025205915,0.030303030303030304
0.1482584102411432,0.030303030303030304
0.1482584102411432,0.060606060606060608
0.15480797856504913,0.060606060606060608
0.15480797856504913,0.090909090909090912
0.16165525454004168,0.090909090909090912
0.16165525454004168,0.12121212121212122
0.20521980748238564,0.12121212121212122
0.20521980748238564,0.15151515151515152
0.2342959214051801,0.15151515151515152
0.2344943931725712,0.18181818181818182
0.25841024114319738,0.18181818181818182
0.25841024114319738,0.21212121212121213
0.25979954351493501,0.21212121212121213
0.25979954351493501,0.24242424242424243
0.26734147067579639,0.24242424242424243
0.26734147067579639,0.27272727272727271
0.28421157090403892,0.27272727272727271
0.28441004267143,0.30303030303030304
0.30078396348119479,0.30303030303030304
0.30078396348119479,0.33333333333333331
0.30286791703880123,0.33333333333333331
0.3030663888061923,0.36363636363636365
0.32698223677681848,0.36363636363636365
0.32698223677681848,0.39393939393939392
0.33849359928550166,0.39393939393939392
0.33849359928550166,0.42424242424242425
0.3412722040289769,0.42424242424242425
0.3412722040289769,0.45454545454545453
0.36697429790612285,0.45454545454545453
0.36697429790612285,0.48484848484848486
0.37402004564850649,0.48484848484848486
0.37402004564850649,0.51515151515151514
0.38443981343653866,0.51515151515151514
0.38443981343653866,0.5757575757575758
0.39138632529522677,0.5757575757575758
0.39158479706261784,0.60606060606060608
0.39376798650391981,0.60606060606060608
0.39376798650391981,0.63636363636363635
0.40299692368760542,0.63636363636363635
0.40299692368760542,0.66666666666666663
0.40855413317455591,0.66666666666666663
0.40875260494194698,0.69696969696969702
0.41182891733650889,0.69696969696969702
0.41182891733650889,0.72727272727272729
0.41768383447454599,0.72727272727272729
0.41768383447454599,0.75757575757575757
0.43544705765604841,0.75757575757575757
0.43544705765604841,0.78787878787878785
0.43921802123647913,0.78787878787878785
0.43921802123647913,0.81818181818181823
0.44437828718864741,0.81818181818181823
0.44437828718864741,0.84848484848484851
0.49379775726902847,0.84848484848484851
0.49399622903641954,0.87878787878787878
0.50699612980053588,0.87878787878787878
0.50719460156792695,0.90909090909090906
0.53438523370050606,0.90909090909090906
0.53458370546789724,0.93939393939393945
0.53895008435050118,0.93939393939393945
0.53895008435050118,0.96969696969696972
0.89957328570010919,0.96969696969696972
0.89977175746750027,1
1,1
